,PeakID (cmd=annotatePeaks.pl peakcall_strict/Ty-N_summits.bed dm6 -annStats peak_annotation/Ty-N_stats.txt),Chr,Start,End,Strand,Peak Score,Focus Ratio/Region Size,Annotation,Detailed Annotation,Distance to TSS,Nearest PromoterID,Entrez ID,Nearest Unigene,Nearest Refseq,Nearest Ensembl,Gene Name,Gene Alias,Gene Description,Gene Type,CG_number,FBgn_ID
675,Ty-N_peak_1088,chrX,3862658,3862658,+,42.70632,,promoter-TSS (NR_123784),promoter-TSS (NR_123784),39,NR_002098,3772376,,NR_002097,,roX1,BcDNA:GH10432|CR32777|Dmel\CR32777|EG:EG0002.2|RoX1|chrX:3706836..3706970|roX|rox-1|rox1,RNA on the X 1,ncRNA,CR32777,FBgn0019661
677,Ty-N_peak_1204,chrX,18084789,18084789,+,42.69469,,promoter-TSS (NM_001272738),promoter-TSS (NM_001272738),618,NM_001298469,32786,Dm.29238,NM_133037,,CG7536,Dmel\CG7536,CG7536,protein-coding,CG7536,FBgn0030890
679,Ty-N_peak_28,chr2L,3423181,3423181,+,42.46066,,promoter-TSS (NM_134929),promoter-TSS (NM_134929),-224,NM_134929,33556,,NM_134929,,pgant2,CG3254|Dmel\CG3254|PGANT2,polypeptide GalNAc transferase 2,protein-coding,CG3254,FBgn0031530
680,Ty-N_peak_327,chr2R,14958554,14958554,+,42.35257,,promoter-TSS (NM_001274055),promoter-TSS (NM_001274055),-98,NM_001274055,47594,Dm.1507,NM_080153,,aPKC,CG10261|CG30475|CG42783|DaPKC|Dmel\CG42783|Dmel_CG10261|Dmel_CG30475|PKCl|PKCzeta|a-PKC|aPKC-zeta|aPKCzeta|aPkc|alphaPKCzeta|apkc|daPKC|dapkc|i|l(2)k06403|pkc-3|psu,atypical protein kinase C,protein-coding,CG10261,FBgn0261854
682,Ty-N_peak_555,chr3L,11553224,11553224,+,42.3072,,promoter-TSS (NM_168461),promoter-TSS (NM_168461),-112,NM_168461,39293,Dm.33455,NM_140217,,Mob2,BEST:GH06341|BcDNA:GH13236|CG11711|CG11712|DMob2|Dmel\CG11711|Dmob1|Dmob2|Mob1|MobI|dmob2|gh06341|trezor,Mob2,protein-coding,CG11711,FBgn0259481
685,Ty-N_peak_481,chr3L,4170244,4170244,+,42.3072,,promoter-TSS (NM_139608),promoter-TSS (NM_139608),-160,NM_139608,38500,Dm.7704,NM_139608,,Ero1L,CG1333|Dmel\CG1333|ERO1-L|Ero1l|ero1L|kiga|l(3)64Ag|l(3)SH22,Endoplasmic reticulum oxidoreductin-1-like,protein-coding,CG1333,FBgn0261274
686,Ty-N_peak_10,chr2L,1166559,1166559,+,42.3072,,promoter-TSS (NM_134736),promoter-TSS (NM_134736),53,NM_134736,33301,Dm.5897,NM_134736,,CG14341,Dmel\CG14341,uncharacterized protein,protein-coding,CG14341,FBgn0031315
692,Ty-N_peak_445,chr3L,607523,607523,+,41.57875,,promoter-TSS (NM_138199),promoter-TSS (NM_138199),-954,NM_138199,38075,Dm.2447,NM_138199,,Reg-2,21483246|CG3200|Dmel\CG3200|Dreg-2,Rhythmically expressed gene 2,protein-coding,CG3200,FBgn0016715
696,Ty-N_peak_518,chr3L,7869071,7869071,+,41.49245,,promoter-TSS (NM_168240),promoter-TSS (NM_168240),29,NM_001300045,38876,,NM_168240,,CG32365,CG13682|CG13683|CG8294|Dmel\CG32365,uncharacterized protein,protein-coding,CG32365,FBgn0052365
700,Ty-N_peak_331,chr2R,15201092,15201092,+,41.49245,,promoter-TSS (NM_001274062),promoter-TSS (NM_001274062),108,NM_137172,36682,Dm.16053,NM_137172,,GPHR,CG8090|Dmel\CG8090|dGPHR,Golgi pH Regulator,protein-coding,CG8090,FBgn0033995
702,Ty-N_peak_767,chr3R,8938643,8938643,+,41.2352,,promoter-TSS (NM_001170088),promoter-TSS (NM_001170088),-81,NM_001316547,41067,Dm.1109,NM_141589,,skap,A-Sbeta|CG11963|CGI 1963|Dmel\CG11963|SkAP|Skap,skpA associated protein,protein-coding,CG11963,FBgn0037643
709,Ty-N_peak_308,chr2R,12670231,12670231,+,40.68278,,promoter-TSS (NM_165934),promoter-TSS (NM_165934),-12,NM_165934,36395,Dm.4052,NM_136964,,nemy,CG13147|CG8776|CytB561|Dmel\CG8776|Dmel_CG8772|Nemy|P153|anon-WO0140519.146,no extended memory,protein-coding,CG13147,FBgn0261673
711,Ty-N_peak_452,chr3L,749229,749229,+,40.68278,,promoter-TSS (NM_079152),promoter-TSS (NM_079152),-171,NM_079152,38091,Dm.2147,NM_079152,,emc,0094/26|0203/10|0587/01|0977/09|Ach|CG1007|Dm0688|Dmel\CG1007|Emc|bHLHb28|gov|l(3)04322|l(3)05592|l(3)61Da|l(3)j4E11|ms(3)61CD,extra macrochaetae,protein-coding,CG1007,FBgn0000575
712,Ty-N_peak_224,chr2L,21330834,21330834,+,40.68278,,promoter-TSS (NM_001273745),promoter-TSS (NM_001273745),-922,NM_001273745,35404,Dm.23895,NM_078887,,dimm,CG8667|DIMM|Dimm|Dmel\CG8667|Mistr|bHLHa16|c929|dim,dimmed,protein-coding,CG8667,FBgn0023091
717,Ty-N_peak_810,chr3R,14308677,14308677,+,40.2786,,promoter-TSS (NM_169575),promoter-TSS (NM_169575),-88,NM_169574,41740,Dm.2430,NM_079625,,su(Hw),CG8573|Dmel\CG8573|SU(HW)|SUHW|Su(HW)|Su(Hw)|Su(hw)|Su[Hw]|su(HW)|su(hw)|suHw,suppressor of Hairy wing,protein-coding,CG8573,FBgn0003567
722,Ty-N_peak_401,chr2R,22403909,22403909,+,39.87753,,promoter-TSS (NM_001169781),promoter-TSS (NM_001169781),-268,NM_137824,37558,Dm.12569,NM_137824,,CG6044,BcDNA:RH44966|Dmel\CG6044,CG6044,protein-coding,CG6044,FBgn0034725
724,Ty-N_peak_554,chr3L,11341413,11341413,+,39.87753,,promoter-TSS (NR_124886),promoter-TSS (NR_124886),-669,NR_124886,19835745,,NR_124886,,CR45250,Dmel\CR45250,ncRNA,ncRNA,CR45250,FBgn0266785
728,Ty-N_peak_1214,chrX,20449214,20449214,+,39.87753,,promoter-TSS (NM_134551),promoter-TSS (NM_134551),-117,NM_001298565,318059,,NM_134551,,CG32506,Dmel\CG32506,uncharacterized protein,protein-coding,CG32506,FBgn0052506
729,Ty-N_peak_1113,chrX,7445241,7445241,+,39.87753,,promoter-TSS (NR_123821),promoter-TSS (NR_123821),-146,NR_123821,19835128,,NR_123821,,CR45533,Dmel\CR45533,ncRNA,ncRNA,CR45533,FBgn0267089
730,Ty-N_peak_1085,chrX,3811266,3811266,+,39.87753,,promoter-TSS (NM_130722),promoter-TSS (NM_130722),-432,NM_130722,31339,Dm.17730,NM_130722,,ec,CG2904|Dmel\CG2904|EG:EG0002.3|Ec|Q1W9Q0,echinus,protein-coding,CG2904,FBgn0000542
731,Ty-N_peak_627,chr3L,16765083,16765083,+,39.81595,,promoter-TSS (NM_057450),promoter-TSS (NM_057450),-989,NM_001202192,39873,Dm.3189,NM_057450,,Nrt,BP106|BcDNA:LD22004|CG9704|DAB|Dab|Dmel\CG9704|MabBP106|NRT|NRT BP106|NT|Neur|Nrt BP106|dab|l(3)73Be|neu|nrt,Neurotactin,protein-coding,CG9704,FBgn0004108
736,Ty-N_peak_532,chr3L,9047500,9047500,+,39.07671,,promoter-TSS (NM_140027),promoter-TSS (NM_140027),61,NM_140027,39040,Dm.6841,NM_140027,,CG5144,Dmel\CG5144,CG5144,protein-coding,CG5144,FBgn0035957
737,Ty-N_peak_1110,chrX,6998502,6998502,+,39.07671,,promoter-TSS (NM_001169213),promoter-TSS (NM_001169213),-170,NM_001272372,31646,Dm.3095,NM_132147,,Inx2,CG4590|D-inx-2|Dm-inx|Dm-inx2|Dmel\CG4590|FBpp0291074|INX-2|Ix2|inx-2|inx2|kropf|l(1)G0035|l(1)G0036|l(1)G0043|l(1)G0059|l(1)G0118|l(1)G0157|l(1)G0317|l(1)G0364|prp33,Innexin 2,protein-coding,CG4590,FBgn0027108
738,Ty-N_peak_966,chr4,501684,501684,+,39.07671,,promoter-TSS (NM_001272130),promoter-TSS (NM_001272130),-126,NM_079884,43795,Dm.3906,NM_079884,,zfh2,CG1449|Dmel\CG1449|ZFH-2|ZFH2|Zfh-2|Zfh2|zfh-2,Zn finger homeodomain 2,protein-coding,CG1449,FBgn0004607
741,Ty-N_peak_773,chr3R,10083375,10083375,+,39.07671,,promoter-TSS (NR_125127),promoter-TSS (NR_125127),-6,NR_125127,19835480,,NR_125127,,CR45054,CG45054|Dmel\CR45054,ncRNA,ncRNA,CR45054,FBgn0266414
745,Ty-N_peak_78,chr2L,9495874,9495874,+,38.52647,,promoter-TSS (NM_001298852),promoter-TSS (NM_001298852),400,NM_205944,2768929,Dm.7689,NM_205943,,CG33298,CG13112|CG18419|DmCG33298|Dmel\CG33298,uncharacterized protein,protein-coding,CG33298,FBgn0032120
748,Ty-N_peak_188,chr2L,19064833,19064833,+,38.29089,,promoter-TSS (NM_136096),promoter-TSS (NM_136096),-96,NM_136096,35180,,NM_136096,,CG17343,Dmel\CG17343,uncharacterized protein,protein-coding,CG17343,FBgn0032751
751,Ty-N_peak_490,chr3L,5592555,5592555,+,38.28073,,promoter-TSS (NM_139718),promoter-TSS (NM_139718),16,NM_001300014,38631,Dm.31174,NM_139718,,spo,307a1|CG10594|CYP307A1|CYP307A1-Dm|Cyp307a1|Dmel\CG10594|Dmspo|Spo,spook,protein-coding,CG10594,FBgn0003486
765,Ty-N_peak_742,chr3R,6646678,6646678,+,37.89217,,promoter-TSS (NM_001170061),promoter-TSS (NM_001170061),-211,NM_206437,40813,Dm.7380,NM_057608,,Taf1,BG:DS00004.13|CG17603|Dmel\CG17603|EfW1|SR3-5|TAF|TAF1|TAF200|TAF230|TAF250|TAF250/230|TAFII-250|TAFII250|TAF[II]250|TAF[[II]]|TAF[[II]]230|TAF[[II]]250|TAF[[II]]250/230|TFIID|TFIID TAF250|Taf1p|Taf200|Taf230|Taf250|Taf[[II]]250|cel|cell|d230|dTAF1|dTAF230|dTAF250|dTAFII250|dTAF[[II]]230|dTAF[[II]]250|dmTAF1|dmTAF[[II]]230|l(3)84Ab|p230,TBP-associated factor 1,protein-coding,CG17603,FBgn0010355
768,Ty-N_peak_536,chr3L,9435432,9435432,+,37.48975,,promoter-TSS (NM_001104092),promoter-TSS (NM_001104092),-33,NM_001169930,8674075,Dm.33901,NM_001169930,,CG42526,Dmel\CG42526,uncharacterized protein,protein-coding,CG42526,FBgn0260431
775,Ty-N_peak_1171,chrX,12785102,12785102,+,37.3656,,promoter-TSS (NM_167339),promoter-TSS (NM_167339),-144,NM_167338,326226,Dm.13947,NM_167338,,CG32647,BcDNA:RH40632|CG15723|CG18453|CG3794|CT35953|Dmel\CG32647,uncharacterized protein,protein-coding,CG32647,FBgn0052647
777,Ty-N_peak_908,chr3R,26318043,26318043,+,37.2737,,promoter-TSS (NM_001038982),promoter-TSS (NM_001038982),-312,NM_001038982,43186,Dm.1342,NM_001038981,,CG33970,CG14559|CG31085|CG6162|CG6166|Dmel\CG33970,uncharacterized protein,protein-coding,CG33970,FBgn0053970
780,Ty-N_peak_54,chr2L,6921636,6921636,+,36.70373,,promoter-TSS (NM_001169427),promoter-TSS (NM_001169427),-3,NM_164720,33968,Dm.1997,NM_057521,,Hrb27C,10280|CG10377|Dmel\CG10377|HRB27C|HRP48|Hrb27-C|Hrb27c|Hrb48|Hrp48|Hrp48/Hrb27C|Ov5|RRM7|Rbp7|hnRNP27C|hnRNP48|hrb27|hrb27C|hrb27c|hrp48|l(2)02647|l(2)10280|l(2)2647|linha|p50|rrm7,Heterogeneous nuclear ribonucleoprotein at 27C,protein-coding,CG10377,FBgn0004838
784,Ty-N_peak_44,chr2L,5618396,5618396,+,36.70373,,promoter-TSS (NM_135102),promoter-TSS (NM_135102),-450,NM_001201772,33793,,NM_135102,,DIP-eta,14010|CG14010|CT33567|Dmel\CG14010,Dpr-interacting protein eta,protein-coding,CG14010,FBgn0031725
785,Ty-N_peak_873,chr3R,23758259,23758259,+,36.70373,,promoter-TSS (NM_170090),promoter-TSS (NM_170090),-80,NM_142923,42807,Dm.20236,NM_142923,,PTPMT1,150466_at|CG10371|Dmel\CG10371|PLIP|Plip|dPTEN|plip,"Protein tyrosine phosphatase, mitochondrial 1",protein-coding,CG10371,FBgn0039111
786,Ty-N_peak_689,chr3L,21706851,21706851,+,36.70373,,promoter-TSS (NM_206422),promoter-TSS (NM_206422),-486,NM_001275259,40412,Dm.9812,NM_168935,,CG32447,CG14571|CG7155|Dmel\CG32447|anon-WO0170980.76|anon-WO0170980.77,uncharacterized protein,protein-coding,CG32447,FBgn0052447
787,Ty-N_peak_405,chr2R,23385501,23385501,+,36.70373,,promoter-TSS (NM_001169793),promoter-TSS (NM_001169793),-33,NM_001169793,37705,Dm.27786,NM_137945,,CG30414,CG3487|Dmel\CG30414|FBgn0050414|SP62,uncharacterized protein,protein-coding,CG30414,FBgn0050414
790,Ty-N_peak_517,chr3L,7868090,7868090,+,36.49213,,promoter-TSS (NM_168240),promoter-TSS (NM_168240),-721,NM_001274618,45588,Dm.1594,NM_080093,,Pdp1,CG17888|DM1|DM32|Dmel\CG17888|PDP|PDP1|PDP1epsilon|Pdp-1|Pdp1 epsilon|Pdp1&e;gr|Pdp1e|Pdp1epsilon|anon-WO0140519.206|mel_pdp1|pdp|pdp1|pdp1epsilon,PAR-domain protein 1,protein-coding,CG17888,FBgn0016694
791,Ty-N_peak_95,chr2L,10268735,10268735,+,36.46618,,promoter-TSS (NM_135522),promoter-TSS (NM_135522),-137,NM_135522,34374,Dm.2216,NM_135522,,CG4957,Dmel\CG4957,CG4957,protein-coding,CG4957,FBgn0032205
794,Ty-N_peak_449,chr3L,708224,708224,+,36.02501,,promoter-TSS (NM_138211),promoter-TSS (NM_138211),-19,NM_138211,38087,Dm.5860,NM_138211,,CG13895,Dmel\CG13895,uncharacterized protein,protein-coding,CG13895,FBgn0035158
798,Ty-N_peak_768,chr3R,9034465,9034465,+,35.97048,,promoter-TSS (NM_169257),promoter-TSS (NM_169257),-734,NM_169257,41085,Dm.1114,NM_057304,,neur,0328/12|0971/15|1293/09|1315/05|BEST:LD21494|CG11988|Dmel\CG11988|Neur|l(3)j6B12|l(3)j9B8|l(3)j9B9|l(3)j9C8|l(3)neo37|neu,neuralized,protein-coding,CG11988,FBgn0002932
799,Ty-N_peak_341,chr2R,16337406,16337406,+,35.92252,,promoter-TSS (NM_001144207),promoter-TSS (NM_001144207),646,NM_001299559,44154,Dm.7717,NM_079972,,Hmgs,CG16796|CG4311|Dmel\CG4311|HMGS|Ov25|l(2)06214,HMG Coenzyme A synthase,protein-coding,CG16796,FBgn0010611
805,Ty-N_peak_1065,chrX,2145459,2145459,+,35.92252,,promoter-TSS (NM_001272246),promoter-TSS (NM_001272246),96,NM_001272246,31185,Dm.27,NM_057512,,Pgd,6-PGD|6-Pgd|6-pgd|6PGD|6PGDH|6Pgd|6Pgdh|6pgdh|A7|CG3724|Dmel\CG3724|EG:87B1.4|N1|PGD|Pdg|l(1)2Dc|l(1)2De|l(1)A7|l(1)G0385|l(1)N1|l(1)N3[90]|l(1)Pgd|l(1)Pgd-A|l35|pgd,Phosphogluconate dehydrogenase,protein-coding,CG3724,FBgn0004654
806,Ty-N_peak_248,chr2R,6681203,6681203,+,35.92252,,promoter-TSS (NM_136382),promoter-TSS (NM_136382),-593,NR_073843,14462550,,NR_073843,,CR44164,Dmel\CR44164,ncRNA,ncRNA,CR44164,FBgn0265049
807,Ty-N_peak_719,chr3R,4437280,4437280,+,35.92252,,promoter-TSS (NM_001316530),promoter-TSS (NM_001316530),49,NM_141215,40565,Dm.10932,NM_141215,,CG9804,Dmel\CG9804,CG9804,protein-coding,CG9804,FBgn0037251
809,Ty-N_peak_371,chr2R,20526242,20526242,+,35.92252,,promoter-TSS (NM_137639),promoter-TSS (NM_137639),-69,NM_137639,37313,,NM_137639,,GNBP-like3,CG13422|Dmel\CG13422|GNBP-like|GNBPlike 3,GNBP-like 3,protein-coding,CG13422,FBgn0034511
810,Ty-N_peak_1089,chrX,3940631,3940631,+,35.92252,,promoter-TSS (NM_166998),promoter-TSS (NM_166998),-216,NM_166997,318210,,NM_166997,,CG32786,Dmel\CG32786,uncharacterized protein,protein-coding,CG32786,FBgn0052786
811,Ty-N_peak_739,chr3R,6078684,6078684,+,35.92252,,promoter-TSS (NM_079520),promoter-TSS (NM_079520),-401,NM_079520,40744,Dm.27213,NM_079520,,Or83c,83D.1|83c|CG15581|DOR116|Dmel\CG15581,Odorant receptor 83c,protein-coding,CG15581,FBgn0037399
815,Ty-N_peak_927,chr3R,29131275,29131275,+,35.92252,,promoter-TSS (NM_001170298),promoter-TSS (NM_001170298),8,NM_170392,43442,Dm.16340,NM_143415,,Vha100-1,BcDNA:LD21248|CG1709|Dmel\CG1709|V0|V0a|V100|Vha100|v0a1|v100|vha|vha100-1,Vacuolar H[+] ATPase 100kD subunit 1,protein-coding,CG1709,FBgn0028671
817,Ty-N_peak_933,chr3R,30134567,30134567,+,35.92252,,promoter-TSS (NM_176589),promoter-TSS (NM_176589),32,NM_176587,43582,Dm.7190,NM_176587,,Tpi,CG2171|Dmel\CG2171|ND14|TPI|TPIS|sgk|tpi|wstd,Triose phosphate isomerase,protein-coding,CG2171,FBgn0086355
819,Ty-N_peak_533,chr3L,9211878,9211878,+,35.76579,,promoter-TSS (NM_140036),promoter-TSS (NM_140036),-2,NM_140036,39056,Dm.10774,NM_140036,,CG4476,DmNAT3|Dmel\CG4476|anon-WO0149848.7,CG4476,protein-coding,CG4476,FBgn0035969
823,Ty-N_peak_285,chr2R,10535328,10535328,+,35.54557,,promoter-TSS (NM_001032229),promoter-TSS (NM_001032229),-296,NM_170623,44548,Dm.11710,NM_080027,,lola,BEST:LD03274|BTB-IV|BcDNA:LD17006|BcDNA:RH31485|BtbIV|CG12052|CG18376|CG18378|CG18379|CG18380|CG18381|CG30012|CG30013|CG30014|Dmel\CG12052|LD03274|Lola|NEST:bs06a08|bs06a08.y1|btb|eyeful|fus7|l(2)00642|l(2)s3697|sw59,longitudinals lacking,protein-coding,CG12052,FBgn0283521
824,Ty-N_peak_1112,chrX,7066314,7066314,+,35.54557,,promoter-TSS (NM_001042797),promoter-TSS (NM_001042797),-262,NM_001042797,31650,Dm.26477,NM_132150,,CG12541,Dmel\CG12541,uncharacterized protein,protein-coding,CG12541,FBgn0029930
825,Ty-N_peak_897,chr3R,25637447,25637447,+,35.26032,,promoter-TSS (NM_001104450),promoter-TSS (NM_001104450),-396,NM_001104450,43093,Dm.7493,NM_143152,,jigr1,CG17383|Dmel\CG17383|JIGR-1|JIGR1|bs29f05.y1,jing interacting gene regulatory 1,protein-coding,CG17383,FBgn0039350
828,Ty-N_peak_1197,chrX,17507798,17507798,+,35.14644,,promoter-TSS (NM_001272715),promoter-TSS (NM_001272715),-709,NM_176751,32729,Dm.1952,NM_132990,,CG43658,CG12432|CG8557|Dmel\CG43658|Dmel_CG12432|Dmel_CG8557,uncharacterized protein,protein-coding,CG43658,FBgn0263706
830,Ty-N_peak_388,chr2R,21608436,21608436,+,35.14644,,promoter-TSS (NM_001299754),promoter-TSS (NM_001299754),-311,NM_001299754,37458,Dm.7047,NM_137746,,CG10433,Dmel\CG10433,uncharacterized protein,protein-coding,CG10433,FBgn0034638
836,Ty-N_peak_125,chr2L,13783969,13783969,+,34.85395,,promoter-TSS (NM_001042895),promoter-TSS (NM_001042895),-115,NM_001169503,34783,Dm.4472,NM_001042895,,CG31731,BG:DS00797.5|CG7491|CG7559|D00797.5|DS00797.5|Dmel\CG31731,uncharacterized protein,protein-coding,CG31731,FBgn0028539
837,Ty-N_peak_553,chr3L,11252145,11252145,+,34.81141,,promoter-TSS (NM_206321),promoter-TSS (NM_206321),-162,NM_140199,39270,Dm.6574,NM_140199,,scyl,7590|CG7590|Dmel\CG7590|anon-WO0118547.215|scy,scylla,protein-coding,CG7590,FBgn0041094
842,Ty-N_peak_650,chr3L,18398605,18398605,+,34.37531,,promoter-TSS (NM_079414),promoter-TSS (NM_079414),-170,NM_079414,40015,Dm.2529,NM_079414,,rpr,CG4319|Dmel\CG4319|RPR|Reaper|Rpr|anon-WO0162936.19|rp,reaper,protein-coding,CG4319,FBgn0011706
843,Ty-N_peak_1205,chrX,18093171,18093171,+,34.37531,,promoter-TSS (NM_176755),promoter-TSS (NM_176755),26,NM_001298472,32790,Dm.202,NM_133039,,RhoGAP16F,CG7122|Dmel\CG7122,Rho GTPase activating protein at 16F,protein-coding,CG7122,FBgn0030893
844,Ty-N_peak_1206,chrX,18226135,18226135,+,34.37531,,promoter-TSS (NM_001201741),promoter-TSS (NM_001201741),-59,NM_001272747,32803,Dm.28218,NM_001031899,,CG33639,CG16958|CG5936|Dmel\CG33639|anon-WO0170980.40|anon-WO0170980.41,uncharacterized protein,protein-coding,CG33639,FBgn0053639
846,Ty-N_peak_503,chr3L,6990573,6990573,+,34.37531,,promoter-TSS (NM_079226),promoter-TSS (NM_079226),-49,NM_079226,38766,Dm.5684,NM_079226,,bin,BIN|Bin|CG18647|DmFoxF|Dmbin|Dmel\CG18647|FOXF|FoxF|XIV|binI|l(3)65CEe,biniou,protein-coding,CG18647,FBgn0045759
847,Ty-N_peak_203,chr2L,19935152,19935152,+,34.37531,,promoter-TSS (NM_001273675),promoter-TSS (NM_001273675),-101,NM_136167,35277,Dm.17935,NM_136167,,sick,CG10662|CG13958|CG13959|CG13960|CG13961|CG13964|CG33316|CG34343|CG42589|CG43720|Dm_2L:104545|Dmel\CG43720|Dmel_CG10662|Dmel_CG13958|Dmel_CG13964|Dmel_CG33316|Dmel_CG34343|Dmel_CG42589,sickie,protein-coding,CG10662,FBgn0263873
860,Ty-N_peak_905,chr3R,26259085,26259085,+,33.36407,,promoter-TSS (NM_170264),promoter-TSS (NM_170264),128,NM_170266,43183,Dm.2349,NM_079791,,Ald,ALD|BcDNA:LP07735|CG6058|Dmel\CG6058|FBA|T12|T4|T6|T7|ald|dALDOA,Aldolase,protein-coding,CG6058,FBgn0000064
865,Ty-N_peak_1104,chrX,6283716,6283716,+,32.84898,,promoter-TSS (NM_132078),promoter-TSS (NM_132078),-141,NM_132078,31564,Dm.38624,NM_132078,,CG11700,CR11700|Dmel\CG11700|ESTS:143G11T|ESTS:199A6T|Ubi-p5E5|Ubiquitin|anon-sts41|poly-ub,uncharacterized protein,protein-coding,CG11700,FBgn0029856
866,Ty-N_peak_395,chr2R,22102610,22102610,+,32.84898,,promoter-TSS (NM_137795),promoter-TSS (NM_137795),-567,NM_137795,37520,,NM_137795,,CG6613,Dmel\CG6613,CG6613,protein-coding,CG6613,FBgn0034694
870,Ty-N_peak_884,chr3R,24584967,24584967,+,32.84898,,promoter-TSS (NM_001043289),promoter-TSS (NM_001043289),193,NM_143015,42931,Dm.4647,NM_143015,,CG13625,Dmel\CG13625|anon-WO0118547.376,uncharacterized protein,protein-coding,CG13625,FBgn0039210
873,Ty-N_peak_552,chr3L,11114038,11114038,+,32.76129,,promoter-TSS (NM_057387),promoter-TSS (NM_057387),-298,NM_057387,39251,Dm.926,NM_057387,,Sod1,CG11793|Cu|Cu-Zn SOD|Cu/Zn SOD|Cu/Zn sod|Cu/Zn superoxide dismutase|Cu/ZnSOD|CuSOD|CuZn SOD|CuZn-SOD|CuZn-SOD1|CuZnSOD|Cu[2+]/Zn[2+]SOD|Dmel\CG11793|G|Mn SOD|SOD|SOD-1|SOD1|SODC_DROME|Sod|Sod-1|To|To-1|Zn SOD|Zn Sod|Zn-SOD|ZnSod|cSOD|cSod|dSOD1|l(3)108|l(3)68Af'|l(3)G|sod|sod1,Superoxide dismutase 1,protein-coding,CG11793,FBgn0003462
874,Ty-N_peak_256,chr2R,7049755,7049755,+,32.62812,,promoter-TSS (NM_078915),promoter-TSS (NM_078915),-36,NM_078915,35623,Dm.5872,NM_078915,,lbm,CG2374|Dm.Tsp42Em|Dmel\CG2374|Ibm|LBM|Lbm|lbl,late bloomer,protein-coding,CG2374,FBgn0016032
877,Ty-N_peak_1042,chrX,497750,497750,+,32.19263,,promoter-TSS (NR_123760),promoter-TSS (NR_123760),-376,NR_123760,19836009,,NR_123760,,CR44891,Dmel\CR44891,ncRNA,ncRNA,CR44891,FBgn0266196
884,Ty-N_peak_847,chr3R,18719627,18719627,+,32.09342,,promoter-TSS (NR_133417),promoter-TSS (NR_133417),4,NR_133417,26067575,,NR_133417,,CR46265,Dmel\CR46265,ncRNA,ncRNA,CR46265,FBgn0275433
886,Ty-N_peak_266,chr2R,8411968,8411968,+,32.09342,,promoter-TSS (NM_001144146),promoter-TSS (NM_001144146),-201,NM_001144146,35814,Dm.4310,NM_136534,,CG2121,CG8698|Dmel\CG2121,CG2121,protein-coding,CG2121,FBgn0033289
890,Ty-N_peak_615,chr3L,16144952,16144952,+,32.08101,,promoter-TSS (NM_001300150),promoter-TSS (NM_001300150),-916,NM_001300150,317885,,NM_168653,,CG32152,Dmel\CG32152,uncharacterized protein,protein-coding,CG32152,FBgn0052152
893,Ty-N_peak_613,chr3L,15988153,15988153,+,31.79683,,promoter-TSS (NM_140567),promoter-TSS (NM_140567),-83,NM_001274981,39747,Dm.11460,NM_140567,,Hip14,3L1|CG 6017|CG6017|Dmel\CG6017|dHIP14|hip14|l(3)72Ad,Huntingtin-interacting protein 14,protein-coding,CG6017,FBgn0259824
897,Ty-N_peak_304,chr2R,12612288,12612288,+,31.54926,,promoter-TSS (NM_165925),promoter-TSS (NM_165925),-452,NM_001299427,19835902,,NM_001299427,,CG45086,Dmel\CG45086|Dromel_CG17759_galpha49b_uORF,uncharacterized protein,protein-coding,CG45086,FBgn0266487
899,Ty-N_peak_1200,chrX,17703186,17703186,+,31.5289,,promoter-TSS (NM_001038763),promoter-TSS (NM_001038763),-162,NM_133009,32751,Dm.11521,NM_133009,,CG8188,Dmel\CG8188|Ubc|Ube2S,CG8188,protein-coding,CG8188,FBgn0030863
900,Ty-N_peak_220,chr2L,21220582,21220582,+,31.51046,,promoter-TSS (NM_001273738),promoter-TSS (NM_001273738),-10,NM_136256,35396,Dm.483,NM_136256,,Atg18b,ATG18.2|Atg18|Atg18-like|CG8678|Dmel\CG8678|l(2)k09410,Autophagy-related 18b,protein-coding,CG8678,FBgn0032935
902,Ty-N_peak_684,chr3L,21433927,21433927,+,31.49942,,promoter-TSS (NM_168902),promoter-TSS (NM_168902),54,NM_079476,40370,Dm.1036,NM_079476,,Aef1,AEF-1|AEF1|CG5683|Dmel\CG5683,Adult enhancer factor 1,protein-coding,CG5683,FBgn0005694
904,Ty-N_peak_837,chr3R,17079077,17079077,+,31.3537,,promoter-TSS (NM_169744),promoter-TSS (NM_169744),868,NM_142337,42062,Dm.1228,NM_142337,,Keap1,CG3962|DmKeap1|Dmel\CG3962|KEAP1|Keap-1|Nrf-2|dKEAP1|dKeap1|dkeap-1|dkeap1|keap1,Keap1,protein-coding,CG3962,FBgn0038475
913,Ty-N_peak_97,chr2L,10526735,10526735,+,31.00127,,promoter-TSS (NM_001273427),promoter-TSS (NM_001273427),-837,NM_001273427,34450,Dm.4939,NM_135574,,Lip4,CG6113|Dmel\CG6113|dLip4|dlip4|lip4,Lipase 4,protein-coding,CG6113,FBgn0032264
915,Ty-N_peak_540,chr3L,9697101,9697101,+,31.00127,,promoter-TSS (NM_140088),promoter-TSS (NM_140088),-401,NM_001274715,39132,Dm.12437,NM_140088,,CG6767,Dmel\CG6767,CG6767,protein-coding,CG6767,FBgn0036030
