,Unnamed: 0,PeakID (cmd=annotatePeaks.pl peakcall_strict/Ty-N_summits.bed dm6 -annStats peak_annotation/Ty-N_stats.txt),Chr,Start,End,Strand,Peak Score,Focus Ratio/Region Size,Annotation,Detailed Annotation,Distance to TSS,Nearest PromoterID,Entrez ID,Nearest Unigene,Nearest Refseq,Nearest Ensembl,Gene Name,Gene Alias,Gene Description,Gene Type,CG_number,FBgn_ID,Pause index,Pause index_log2
444,1019,Ty-N_peak_878,chr3R,23962997,23962997,+,26.243290000000002,,promoter-TSS (NM_001104425),promoter-TSS (NM_001104425),-183,NM_142942,42836,Dm.1306,NM_142942,,CG31140,CG13600|CG31452|CG5875|DGKt|Dmel\CG31140,uncharacterized protein,protein-coding,CG31140,FBgn0051140,175.07685800000002,7.451844587908798
446,1027,Ty-N_peak_624,chr3L,16731337,16731337,+,25.69975,,promoter-TSS (NM_057485),promoter-TSS (NM_057485),-519,NM_057485,39871,Dm.3199,NM_057485,,Dbp73D,CG9680|DBP73D|DmRH7|Dmel\CG9680,Dead box protein 73D,protein-coding,CG9680,FBgn0004556,5.03692615,2.332543578760678
447,1030,Ty-N_peak_211,chr2L,20681802,20681802,+,25.53708,,promoter-TSS (NM_001273707),promoter-TSS (NM_001273707),44,NM_136205,35330,Dm.28256,NM_136205,,Cen,38E.1|CG1962|Dmel\CG1962|cen,Centrocortin,protein-coding,CG1962,FBgn0032876,8.34556204,3.0610092125616726
449,1033,Ty-N_peak_66,chr2L,8463510,8463510,+,25.53708,,promoter-TSS (NM_001273324),promoter-TSS (NM_001273324),484,NM_135387,34176,Dm.356,NM_135387,,fu12,AGPAT1|AGPAT2|CG17608|Dmel\CG17608,fu12,protein-coding,CG17608,FBgn0026718,28.003338800000005,4.807526942880342
451,1036,Ty-N_peak_80,chr2L,9699071,9699071,+,25.53708,,promoter-TSS (NM_001273364),promoter-TSS (NM_001273364),226,NM_164866,34284,Dm.2136,NM_057629,,Pka-C1,6353|C|CG4379|CdkA|Cos|Cos-1|Cos1|DC0|DCO|Dc0|Dco|Dcpk|Dmel\CG4379|PKA|PKA CI|PKA Cl|PKA-C1|PKAC1|PKAc|PKAcA|Pka|Pka-C|PkaC1|cos1|dPKA|dc0|dcO|dco|l(2)01272|l(2)cos[[1]]|l(2)s4402|pKA|pkA|pka|pka C1|pka-C1|pka-c1,"Protein kinase, cAMP-dependent, catalytic subunit 1",protein-coding,CG4379,FBgn0000273,74.1342309,6.2120679443875595
453,1039,Ty-N_peak_1182,chrX,15712094,15712094,+,25.53708,,promoter-TSS (NM_132831),promoter-TSS (NM_132831),-534,NM_132831,32510,,NM_132831,,CG8184,Dmel\CG8184|URE-B1/CG8184,CG8184,protein-coding,CG8184,FBgn0030674,18.3563419,4.198206678227676
454,1040,Ty-N_peak_759,chr3R,7911810,7911810,+,25.53708,,promoter-TSS (NM_079547),promoter-TSS (NM_079547),-31,NM_079547,40935,Dm.9919,NM_079547,,Prat,CG2867|DmPrat|Dmel\CG2867,Phosphoribosylamidotransferase,protein-coding,CG2867,FBgn0004901,11.977890400000001,3.582301931439702
455,1041,Ty-N_peak_385,chr2R,21296127,21296127,+,25.53708,,promoter-TSS (NM_137729),promoter-TSS (NM_137729),475,NM_001169762,37433,Dm.30882,NM_137730,,CG42672,CG10074|CG15665|CG30386|CG30387|Dmel\CG42672|Dmel_CG30386|Dmel_CG30387,uncharacterized protein,protein-coding,CG42672,FBgn0261554,46.5551408,5.540868579474134
456,1043,Ty-N_peak_1184,chrX,15940323,15940323,+,25.23595,,promoter-TSS (NM_132863),promoter-TSS (NM_132863),128,NM_206747,32556,Dm.172,NM_078633,,Stim,C-Stim|CG9126|D-STIM|D-Stim|Dmel\CG9126|STIM|STIM1|dSTIM|dStim|dstim|stim1,Stromal interaction molecule,protein-coding,CG9126,FBgn0053180,11.000376,3.459480931734076
458,1046,Ty-N_peak_210,chr2L,20676129,20676129,+,24.8366,,promoter-TSS (NM_165337),promoter-TSS (NM_165337),84,NM_136204,35329,Dm.19854,NM_136204,,IKKepsilon,38D.31|APTX7|CG2615|DIK2|Dik2|DmIKKepsilon|DmIKKepsilon/dIK2|Dmel\CG2615|Dmik2|IK2|IKK|Ik2|Ik2/DmIKK|dIKK|dik2|ik2|l(2)38Ea,I-kappaB kinase epsilon,protein-coding,CG2615,FBgn0086657,2.06586826,1.0467482567660786
460,1051,Ty-N_peak_87,chr2L,9947517,9947517,+,24.8366,,promoter-TSS (NM_001273380),promoter-TSS (NM_001273380),-110,NM_176005,34322,Dm.21264,NM_176005,,CG5853,Dmel\CG5853,CG5853,protein-coding,CG5853,FBgn0032167,19.0413595,4.251064581615633
461,1053,Ty-N_peak_734,chr3R,5702170,5702170,+,24.8366,,promoter-TSS (NM_169095),promoter-TSS (NM_169095),-407,NM_169095,40704,Dm.2012,NM_169094,,plx,CG1093|CG14674|CG34122|CG42612|Dmel\CG42612|Dmel_CG1093|Dmel_CG14674|Dmel_CG34122|Plx,pollux,protein-coding,CG1093,FBgn0261261,4.11380194,2.0404723366294477
463,1055,Ty-N_peak_166,chr2L,17472985,17472985,+,24.8366,,promoter-TSS (NM_135998),promoter-TSS (NM_135998),230,NM_001273601,35051,Dm.3232,NM_165220,,BicD,BIC-D|BICD|Bic-D|Bic[D]|CG6605|Dmel\CG6605|almond|anon-EST:fe2A11,Bicaudal D,protein-coding,CG6605,FBgn0000183,78.7239395,6.298730512654258
465,1058,Ty-N_peak_868,chr3R,22726883,22726883,+,24.46375,,promoter-TSS (NM_001104407),promoter-TSS (NM_001104407),-84,NM_001300543,42691,Dm.16593,NM_001104406,,CG45049,CG17618|CG6982|Dmel\CG45049|Dmel_CG17618|Dmel_CG6982,uncharacterized protein,protein-coding,CG45049,FBgn0266409,9.21454896,3.2039135495676807
466,1060,Ty-N_peak_199,chr2L,19865471,19865471,+,24.413729999999997,,promoter-TSS (NM_001273681),promoter-TSS (NM_001273681),-710,NM_001273681,35277,Dm.17935,NM_136167,,sick,CG10662|CG13958|CG13959|CG13960|CG13961|CG13964|CG33316|CG34343|CG42589|CG43720|Dm_2L:104545|Dmel\CG43720|Dmel_CG10662|Dmel_CG13958|Dmel_CG13964|Dmel_CG33316|Dmel_CG34343|Dmel_CG42589,sickie,protein-coding,CG10662,FBgn0263873,1.31618033,0.39635716640868135
467,1062,Ty-N_peak_722,chr3R,4612703,4612703,+,24.39374,,promoter-TSS (NM_001104214),promoter-TSS (NM_001104214),-167,NM_169011,40575,Dm.9854,NM_079499,,5-HT2A,5-HT2|5-HT2Dro|5-HT[2]Dro|5-HT[[2Dro]]|5-HT[[2]]|5-HT[[2]]Dro|5-ht2Dro|5HT-R82A|5HT-dro[[1]]|5HT2|5HT2-Dro|5HT2Dro|5HT[[2Dro]]|CG1056|Dm5HT2|Dmel\CG1056|d5-HT2|d5-HT2A|l(3)82CDb,5-hydroxytryptamine (serotonin) receptor 2A,protein-coding,CG1056,FBgn0087012,4.83061444,2.272206707313976
468,1063,Ty-N_peak_578,chr3L,14221003,14221003,+,24.39374,,promoter-TSS (NM_001038917),promoter-TSS (NM_001038917),-437,NM_001038917,39572,Dm.33462,NM_001038917,,nuf,CG32140|CG33991|CG7867|CIP-D2|Cy3-23|D2|Dmel\CG33991|EP3077|FIP3|NUF|Nuf|Nuf1|Nuf2p|anon-D2,nuclear fallout,protein-coding,CG32140,FBgn0013718,70.2070936,6.133544900125418
470,1070,Ty-N_peak_434,chr3L,129368,129368,+,24.14234,,promoter-TSS (NM_001274254),promoter-TSS (NM_001274254),-82,NM_001274254,38017,Dm.7033,NM_080382,,Pdk1,1210|CG1201|CG1210|DSTPK61|Dmel\CG1210|Dstpk61|PDK|PDK-1|PDK1|PDK1/Pk61C|PK61C|Pk61C|Pk61C/PDK1|Pk61C|PDK1|Pk61c/PDK1|dPDK|dPDK-1|dPDK1|dSTPK61|pdk1|pk61c,Phosphoinositide-dependent kinase 1,protein-coding,CG1201,FBgn0020386,21.1853543,4.40499535115956
471,1075,Ty-N_peak_49,chr2L,6012309,6012309,+,24.14234,,promoter-TSS (NM_001273192),promoter-TSS (NM_001273192),29,NM_001273192,33840,Dm.1922,NM_135135,,CG9098,Dmel\CG9098,CG9098,protein-coding,CG9098,FBgn0031762,23.2734531,4.540613375276214
472,1081,Ty-N_peak_778,chr3R,10784139,10784139,+,24.06253,,promoter-TSS (NM_169364),promoter-TSS (NM_169364),-47,NM_079582,41293,Dm.22923,NM_079582,,mRpL37,CG42632|CG6547|Dmel\CG42632|Dmel_CG6547|MRP-L2|MRpL37|mRpL2a,mitochondrial ribosomal protein L37,protein-coding,CG42632,FBgn0261380,5.40317215,2.4338066482793854
473,1085,Ty-N_peak_522,chr3L,8115925,8115925,+,23.750220000000002,,promoter-TSS (NM_079244),promoter-TSS (NM_079244),-23,NM_079244,38898,Dm.881,NM_079244,,Arp3,ARP3|AcTr66B|Actr66B|Arp66B|CG7558|Dmel\CG7558|anon-WO0172774.138|arp3|arp66B|arp66b|schwachling,Actin-related protein 3,protein-coding,CG7558,FBgn0262716,4.81447677,2.2673790166890155
474,1086,Ty-N_peak_1097,chrX,5323779,5323779,+,23.73917,,promoter-TSS (NM_078493),promoter-TSS (NM_078493),-76,NM_001297955,31449,Dm.2020,NM_078493,,Mcm3,CG4206|DmMCM3|DmMcm3|DmeMCM3|Dmel\CG4206|MCM3|McM3|Mcp-PCR2|PCR2|dMCM3|dMcm3,Minichromosome maintenance 3,protein-coding,CG4206,FBgn0284442,3.92397813,1.9723170008261453
477,1090,Ty-N_peak_653,chr3L,18898397,18898397,+,23.58295,,promoter-TSS (NM_001316443),promoter-TSS (NM_001316443),-104,NM_140812,40059,Dm.4314,NM_140812,,CG3902,CG 3902|CG18168|CT12987|Dmel\CG3902|GH07925p,CG3902,protein-coding,CG3902,FBgn0036824,41.379854200000004,5.370856656825074
480,1093,Ty-N_peak_1149,chrX,11136343,11136343,+,23.454620000000002,,promoter-TSS (NM_167268),promoter-TSS (NM_167268),80,NM_167268,32049,Dm.130,NM_132459,,Klp10A,CG1453|DmCG1453|DmKLP10A|DmKlp10A|Dmel\CG1453|KIF 2A|KIF2A/B/C|KLP10A|KLP10a|Kif2A|anon-WO03040301.142|klp10A,Kinesin-like protein at 10A,protein-coding,CG1453,FBgn0030268,5.31231328,2.409340228419653
481,1100,Ty-N_peak_104,chr2L,11581149,11581149,+,23.454620000000002,,promoter-TSS (NM_078827),promoter-TSS (NM_078827),-788,NM_078827,34582,Dm.2402,NM_078827,,kek2,CG4977|CT15962|Dmel\CG4977|Kek2|NB7,kekkon-2,protein-coding,CG4977,FBgn0015400,96.6132506,6.594149164527299
482,1101,Ty-N_peak_321,chr2R,14267844,14267844,+,23.454620000000002,,promoter-TSS (NM_166044),promoter-TSS (NM_166044),75,NM_001299486,36586,,NM_137103,,CG8547,Dmel\CG8547,CG8547,protein-coding,CG8547,FBgn0033919,31.028824699999998,4.955537146842817
485,1106,Ty-N_peak_269,chr2R,8600064,8600064,+,23.238960000000002,,promoter-TSS (NM_001169618),promoter-TSS (NM_001169618),-102,NM_136551,35842,Dm.531,NM_136551,,CG8735,Dmel\CG8735,CG8735,protein-coding,CG8735,FBgn0033309,8.18774511,3.0334661909955773
487,1109,Ty-N_peak_29,chr2L,3632522,3632522,+,23.08809,,promoter-TSS (NM_001014464),promoter-TSS (NM_001014464),-368,NM_001169387,44817,Dm.6584,NM_058139,,for,142251_at|BcDNA:GM08338|CG10033|DG2|Dg2|Dmel\CG10033|FOR/PKG|For|PKG|Pkg2|Pkg24A|anon-WO0140519.260|anon-WO02059370.47|dg2|l(2)06860,foraging,protein-coding,CG10033,FBgn0000721,24.3856447,4.607960209282789
488,1112,Ty-N_peak_192,chr2L,19414639,19414639,+,22.79765,,promoter-TSS (NM_078877),promoter-TSS (NM_078877),-162,NM_001259161,35215,Dm.6483,NM_078877,,Pax,CG18061|CG18576|CG31794|CT40481|CT42454|DPaxillin|DPxn|DPxn37|Dmel\CG31794|Dpax|DpaxA|PDLP|dPax|pax,Paxillin,protein-coding,CG18061,FBgn0041789,6.99341343,2.8059967955897833
489,1113,Ty-N_peak_297,chr2R,12019960,12019960,+,22.77297,,promoter-TSS (NM_078981),promoter-TSS (NM_078981),-114,NM_078981,36283,Dm.2582,NM_078981,,otk,CG8967|CT25769|DTrk|Dmel\CG8967|Dtkr|Dtrk|IGGtyk|OFT/TRK|OTK|Otk|Tk48D|Trk48D|anon-WO2004063362.81|dTrk,off-track,protein-coding,CG8967,FBgn0004839,37.275444,5.22015363191072
490,1114,Ty-N_peak_680,chr3L,21131328,21131328,+,22.77297,,promoter-TSS (NM_141026),promoter-TSS (NM_141026),-118,NM_141026,40331,Dm.9801,NM_141026,,ICA69,CG10566|Dm ric-19|Dmel\CG10566|ICA-69|dCG10566-PA,ICA69,protein-coding,CG10566,FBgn0037050,1.4480716,0.534132938340402
491,1121,Ty-N_peak_1157,chrX,11869259,11869259,+,22.77297,,promoter-TSS (NM_167311),promoter-TSS (NM_167311),89,NM_167311,32144,Dm.144,NM_132530,,CG1847,Dmel\CG1847,CG1847,protein-coding,CG1847,FBgn0030345,6.12896313,2.6156430259986676
492,1122,Ty-N_peak_1107,chrX,6679500,6679500,+,22.77297,,promoter-TSS (NM_167081),promoter-TSS (NM_167081),-140,NM_167081,31605,Dm.6745,NM_132111,,l(1)G0255,CG 4094|CG4094|Dmel\CG4094|FBgn0029889|l(1)G0290,lethal (1) G0255,protein-coding,CG4094,FBgn0286222,2.07271956,1.0515249322859155
493,1123,Ty-N_peak_141,chr2L,15425869,15425869,+,22.77297,,promoter-TSS (NM_057253),promoter-TSS (NM_057253),-289,NM_057253,34906,,NM_057253,,wor,BG:DS03023.1|CG4158|Dmel\CG4158|Wor|br35|l(2)35Da|l(2)br35|l35Da,worniu,protein-coding,CG4158,FBgn0001983,4.37563897,2.1294937075825473
494,1125,Ty-N_peak_968,chr4,1030872,1030872,+,22.49325,,promoter-TSS (NM_001272152),promoter-TSS (NM_001272152),103,NM_166807,43830,Dm.6062,NM_143686,,CG11076,Dmel\CG11076,uncharacterized protein,protein-coding,CG11076,FBgn0039929,9.08217527,3.183037878506347
495,1127,Ty-N_peak_524,chr3L,8340278,8340278,+,22.44624,,promoter-TSS (NM_139954),promoter-TSS (NM_139954),-36,NM_079248,38942,Dm.6051,NM_079248,,DNApol-alpha50,CG7108|DNA polalpha|DNApol-alpha|DNApolalpha|DNApolalpha-50|DNApolalpha50|Dmel\CG7108|Dmpol alpha|Dpri50|POLA|PRI1|Pol|Polalpha|Polalpha 50kDa|anon-WO0140519.257|dnapol alpha 50|pol alpha|polalpha|polalpha50,DNA polymerase alpha 50kD,protein-coding,CG7108,FBgn0011762,5.21073981,2.38148821788702
497,1138,Ty-N_peak_35,chr2L,4794188,4794188,+,22.09735,,promoter-TSS (NM_175962),promoter-TSS (NM_175962),-144,NM_175961,33676,Dm.33676,NM_175961,,CG15630,15630|CG31970|CT35785|Dmel\CG15630,uncharacterized protein,protein-coding,CG15630,FBgn0031627,32.392408,5.017583814657668
499,1145,Ty-N_peak_480,chr3L,4148457,4148457,+,21.79737,,promoter-TSS (NM_139605),promoter-TSS (NM_139605),-239,NM_139605,38496,Dm.4901,NM_139605,,CG1299,Dmel\CG1299|SP18|c-SP18,CG1299,protein-coding,CG1299,FBgn0035501,101.717287,6.668421077915746
500,1146,Ty-N_peak_1159,chrX,11983978,11983978,+,21.79737,,promoter-TSS (NM_001014735),promoter-TSS (NM_001014735),-63,NM_001014734,32158,Dm.2395,NM_078578,,cac,13|CAC|CG1522|CG15928|CG43368|Ca-alpha1A|Ca[[V]]2.1|Cac|Cac1|Dmca1A|Dmcalpha1A|Dmel\CG43368|Dmel_CG1522|Dmel_CG15928|EE171|H18|H47|L13|P18|alpha1A|cac1|dCac1|l(1)11Aa|l(1)13|l(1)L13|ldg|nbA|nonB|opm18|opm47,cacophony,protein-coding,CG1522,FBgn0263111,3.81830048,1.9329306396586456
501,1147,Ty-N_peak_147,chr2L,16049794,16049794,+,21.79737,,promoter-TSS (NM_058160),promoter-TSS (NM_058160),-171,NM_001299046,34947,Dm.4778,NM_058160,,beat-Ia,BG:DS00913.3|Beat Ia|Beat-Ia|CCT|CG4846|CT15567|Cct|Dmel\CG4846|TRiC|beat|beat Ia|beat1a|l(2)35Ea|l(2)35Eb|l(2)br47|l(2)br48|tric,beaten path Ia,protein-coding,CG4846,FBgn0013433,4.01482749,2.0053379990331557
503,1157,Ty-N_peak_412,chr2R,24561764,24561764,+,21.42817,,promoter-TSS (NM_001144286),promoter-TSS (NM_001144286),157,NM_138088,37923,Dm.9370,NM_138088,,CG11414,Dmel\CG11414,uncharacterized protein,protein-coding,CG11414,FBgn0035024,15.847923199999999,3.986221888856399
505,1161,Ty-N_peak_474,chr3L,3545396,3545396,+,21.22436,,promoter-TSS (NM_001043121),promoter-TSS (NM_001043121),78,NM_001169869,38433,Dm.4814,NM_079180,,Eip63E,CG10579|Dmel\CG10579|EIP63E|L63|PFTAIRE|Pftaire|cdc2-63E,Ecdysone-induced protein 63E,protein-coding,CG10579,FBgn0005640,18.1207937,4.179574242433559
506,1165,Ty-N_peak_361,chr2R,19178120,19178120,+,20.8433,,promoter-TSS (NM_166335),promoter-TSS (NM_166335),-618,NM_001299677,37203,,NM_137555,,hppy,CG7097|CG7097/hppy|Dmel\CG7097|EP-704|GLK/KHS1|Hppy|MAP4K3|anon-WO0153538.68|l(2)SH1261|l(2)SH2 1261,happyhour,protein-coding,CG7097,FBgn0263395,77.3288901,6.272935601110885
507,1168,Ty-N_peak_952,chr3R,31726185,31726185,+,20.765520000000002,,promoter-TSS (NM_001202401),promoter-TSS (NM_001202401),-217,NM_001202401,48317,Dm.1526,NM_080172,,ttk,0037/17|0250/25|0438/31|0702/07|1049/07|1119/04|1184/16|1209/05|1209/10|1260/10|1281/04|1325/15|1372/08|1396/14|1418/06|3540|5125|5311|CG11558|CG1856|Dmel\CG1856|E(yan)100D|FTZ-F2|TTK|TTK69|TTK88|TTKA|Ttk|Ttk69|Ttk88|anon-EST:Liang-2.9|clone 2.9|ftz-f2|ftzf2/ttk|l(3)02667|l(3)j2A1|l(3)j7B8|osn|oss|ovs|tramtrak|ttk/FTZ-F2|ttk69|ttkp69|twk,tramtrack,protein-coding,CG11558,FBgn0003870,16.9773745,4.085541462570989
508,1171,Ty-N_peak_255,chr2R,7040028,7040028,+,20.765520000000002,,promoter-TSS (NM_078912),promoter-TSS (NM_078912),-108,NM_078912,35620,Dm.33457,NM_078912,,Tsp42Ej,CG12143|Dm.Tsp42Ej|Dmel\CG12143|Sun|sun|tsp42ej,Tetraspanin 42Ej,protein-coding,CG12143,FBgn0033132,132.65565800000002,7.051542400165763
510,1173,Ty-N_peak_267,chr2R,8532257,8532257,+,20.64396,,promoter-TSS (NM_001144147),promoter-TSS (NM_001144147),37,NM_001144147,35832,Dm.17813,NM_136542,,mtt,CG18447|CG30361|CG8692|DmGluBR|DmGluRB|DmXR|Dmel\CG30361|Glu-RB|GluRB|anon-WO0170980.4|anon-WO0170980.5|mXr,mangetout,protein-coding,CG18447,FBgn0050361,3.20137348,1.6786909950068167
511,1175,Ty-N_peak_225,chr2L,21677504,21677504,+,20.5193,,promoter-TSS (NM_001273748),promoter-TSS (NM_001273748),26,NM_206020,35421,Dm.11759,NM_136274,,CG2225,Dmel\CG2225,CG2225,protein-coding,CG2225,FBgn0032957,33.6654872,5.073198438252864
512,1184,Ty-N_peak_638,chr3L,17621413,17621413,+,20.10979,,promoter-TSS (NM_140741),promoter-TSS (NM_140741),92,NM_140740,39964,Dm.6057,NM_140740,,Vps60,CG6259|Chmp5|Dmel\CG6259|VPS60|anon-74EFb|bs36h07.y1,Vacuolar protein sorting 60,protein-coding,CG6259,FBgn0036740,2.51602818,1.3311480807698965
513,1185,Ty-N_peak_165,chr2L,17449697,17449697,+,20.10979,,promoter-TSS (NR_133085),promoter-TSS (NR_133085),667,NM_165219,35047,Dm.3233,NM_165217,,dl,CG6667|DL|Dl|Dmel\CG6667|Dor|Dorsal|GSd447|NFkappaB|anon-EST:GressD7|d|dL|fs(2)k10816|mat(2)dorsal,dorsal,protein-coding,CG6667,FBgn0260632,5.05390715,2.3373991594419605
514,1189,Ty-N_peak_934,chr3R,30151077,30151077,+,19.46087,,promoter-TSS (NM_001316558),promoter-TSS (NM_001316558),-982,NM_001316558,43584,Dm.4898,NM_143516,,CG15529,Dmel\CG15529,uncharacterized protein,protein-coding,CG15529,FBgn0039748,14.784652900000001,3.8860284685230213
515,1192,Ty-N_peak_747,chr3R,7151223,7151223,+,19.46087,,promoter-TSS (NM_001014610),promoter-TSS (NM_001014610),-144,NM_141444,40859,Dm.17121,NM_141444,,Sas-4,CG10061|CPAP|D-Sas4|D-sas4|DSAS-4|DSas-4|DSas4|Dmel\CG10061|Dsas-4|Dsas4|SAS-4|SAS4|Sas4|d-SAS-4|dsas-4|l(3)S2214|l(3)s2214|sas-4|sas4,Spindle assembly abnormal 4,protein-coding,CG10061,FBgn0011020,4.87345309,2.284944357623377
518,1207,Ty-N_peak_794,chr3R,12091165,12091165,+,17.53014,,promoter-TSS (NM_001300367),promoter-TSS (NM_001300367),-553,NM_001300365,41469,,NM_169450,,ATP8B,CG14741|DmCG14741|Dmel\CG14741|dATP8B,ATPase 8B,protein-coding,CG14741,FBgn0037989,9.16449478,3.196055350107334
519,1217,Ty-N_peak_784,chr3R,11157042,11157042,+,16.47304,,promoter-TSS (NM_144369),promoter-TSS (NM_144369),-56,NM_144369,53510,Dm.3806,NM_144369,,Ugt86Da,AC 006491A|BEST:GM04645|CG18578|Dmel\CG18578|GM04645|ugt86Da,Ugt86Da,protein-coding,CG18578,FBgn0040259,333.570921,8.381849717293433
521,1221,Ty-N_peak_564,chr3L,12491235,12491235,+,16.31767,,promoter-TSS (NM_001274836),promoter-TSS (NM_001274836),-559,NM_001274836,39422,Dm.15351,NM_140321,,CG10660,Dmel\CG10660,uncharacterized protein,protein-coding,CG10660,FBgn0036288,39.2105218,5.293168935753936
522,1222,Ty-N_peak_792,chr3R,12063606,12063606,+,16.31767,,promoter-TSS (NM_141895),promoter-TSS (NM_141895),-662,NM_141895,41468,Dm.4275,NM_141895,,CG14740,CS|Dmel\CG14740|anon-WO0140519.178,uncharacterized protein,protein-coding,CG14740,FBgn0037988,2.91084498,1.5414380093196975
524,1224,Ty-N_peak_605,chr3L,15563445,15563445,+,16.27917,,promoter-TSS (NM_140520),promoter-TSS (NM_140520),18,NM_001259840,39685,Dm.6452,NM_140520,,SCCRO,CG7427|Dmel\CG7427|dSCCRO,Squamous cell carcinoma-related oncogene ortholog,protein-coding,CG7427,FBgn0036510,2.95031776,1.5608703463687066
525,1226,Ty-N_peak_316,chr2R,13960449,13960449,+,15.63688,,promoter-TSS (NM_001144192),promoter-TSS (NM_001144192),-45,NM_137073,36545,Dm.19534,NM_137073,,Rpn13,CG13349|Dmel\CG13349|GC13349|p42E,Regulatory particle non-ATPase 13,protein-coding,CG13349,FBgn0033886,2.88001774,1.5260776982409214
526,1230,Ty-N_peak_260,chr2R,7669301,7669301,+,15.25196,,promoter-TSS (NM_136467),promoter-TSS (NM_136467),-272,NM_136467,35709,Dm.23223,NM_136467,,DCTN4-p62,CG12042|DCTN4|Dmel\CG12042|P62|p62,"Dynactin 4, p62 subunit",protein-coding,CG12042,FBgn0033206,2.93676351,1.5542270938251261
